dec,bin,gray,contiguity,score
38176,1001010100100000,1101111110110000,True,0.08432110742253485
38177,1001010100100001,1101111110110001,True,0.34015575003369897
38178,1001010100100010,1101111110110011,False,1.0
38179,1001010100100011,1101111110110010,False,1.0
38180,1001010100100100,1101111110110110,False,1.0
38181,1001010100100101,1101111110110111,False,1.0
38182,1001010100100110,1101111110110101,False,1.0
38183,1001010100100111,1101111110110100,False,1.0
38184,1001010100101000,1101111110111100,True,0.36303060210405746
38185,1001010100101001,1101111110111101,True,0.6188652447152216
38186,1001010100101010,1101111110111111,True,0.8170820590989556
38187,1001010100101011,1101111110111110,False,1.0
38188,1001010100101100,1101111110111010,False,1.0
38189,1001010100101101,1101111110111011,False,1.0
38190,1001010100101110,1101111110111001,True,0.42332832931881004
38191,1001010100101111,1101111110111000,True,0.1674936867076458
38192,1001010100110000,1101111110101000,False,1.0
38193,1001010100110001,1101111110101001,False,1.0
38194,1001010100110010,1101111110101011,False,1.0
38195,1001010100110011,1101111110101010,False,1.0
38196,1001010100110100,1101111110101110,False,1.0
38197,1001010100110101,1101111110101111,False,1.0
38198,1001010100110110,1101111110101101,False,1.0
38199,1001010100110111,1101111110101100,False,1.0
38200,1001010100111000,1101111110100100,False,1.0
38201,1001010100111001,1101111110100101,False,1.0
38202,1001010100111010,1101111110100111,False,1.0
38203,1001010100111011,1101111110100110,False,1.0
38204,1001010100111100,1101111110100010,False,1.0
38205,1001010100111101,1101111110100011,False,1.0
38206,1001010100111110,1101111110100001,True,0.26464002499808037
38207,1001010100111111,1101111110100000,True,0.008805382386916237
38208,1001010101000000,1101111111100000,False,1.0
38209,1001010101000001,1101111111100001,False,1.0
38210,1001010101000010,1101111111100011,False,1.0
38211,1001010101000011,1101111111100010,False,1.0
38212,1001010101000100,1101111111100110,False,1.0
38213,1001010101000101,1101111111100111,False,1.0
38214,1001010101000110,1101111111100101,False,1.0
38215,1001010101000111,1101111111100100,False,1.0
38216,1001010101001000,1101111111101100,False,1.0
38217,1001010101001001,1101111111101101,False,1.0
38218,1001010101001010,1101111111101111,False,1.0
38219,1001010101001011,1101111111101110,False,1.0
38220,1001010101001100,1101111111101010,False,1.0
38221,1001010101001101,1101111111101011,False,1.0
38222,1001010101001110,1101111111101001,False,1.0
38223,1001010101001111,1101111111101000,False,1.0
38224,1001010101010000,1101111111111000,False,1.0
38225,1001010101010001,1101111111111001,False,1.0
38226,1001010101010010,1101111111111011,False,1.0
38227,1001010101010011,1101111111111010,False,1.0
38228,1001010101010100,1101111111111110,False,1.0
38229,1001010101010101,1101111111111111,True,0.8686701146049106
38230,1001010101010110,1101111111111101,False,1.0
38231,1001010101010111,1101111111111100,False,1.0
38232,1001010101011000,1101111111110100,False,1.0
38233,1001010101011001,1101111111110101,False,1.0
38234,1001010101011010,1101111111110111,False,1.0
38235,1001010101011011,1101111111110110,False,1.0
38236,1001010101011100,1101111111110010,False,1.0
38237,1001010101011101,1101111111110011,False,1.0
38238,1001010101011110,1101111111110001,False,1.0
38239,1001010101011111,1101111111110000,False,1.0
38240,1001010101100000,1101111111010000,False,1.0
38241,1001010101100001,1101111111010001,False,1.0
38242,1001010101100010,1101111111010011,False,1.0
38243,1001010101100011,1101111111010010,False,1.0
38244,1001010101100100,1101111111010110,False,1.0
38245,1001010101100101,1101111111010111,False,1.0
38246,1001010101100110,1101111111010101,False,1.0
38247,1001010101100111,1101111111010100,False,1.0
38248,1001010101101000,1101111111011100,False,1.0
38249,1001010101101001,1101111111011101,False,1.0
38250,1001010101101010,1101111111011111,False,1.0
38251,1001010101101011,1101111111011110,False,1.0
38252,1001010101101100,1101111111011010,False,1.0
38253,1001010101101101,1101111111011011,False,1.0
38254,1001010101101110,1101111111011001,False,1.0
38255,1001010101101111,1101111111011000,False,1.0
38256,1001010101110000,1101111111001000,False,1.0
38257,1001010101110001,1101111111001001,False,1.0
38258,1001010101110010,1101111111001011,False,1.0
38259,1001010101110011,1101111111001010,False,1.0
38260,1001010101110100,1101111111001110,False,1.0
38261,1001010101110101,1101111111001111,False,1.0
38262,1001010101110110,1101111111001101,False,1.0
38263,1001010101110111,1101111111001100,False,1.0
38264,1001010101111000,1101111111000100,False,1.0
38265,1001010101111001,1101111111000101,False,1.0
38266,1001010101111010,1101111111000111,False,1.0
38267,1001010101111011,1101111111000110,False,1.0
38268,1001010101111100,1101111111000010,False,1.0
38269,1001010101111101,1101111111000011,False,1.0
38270,1001010101111110,1101111111000001,False,1.0
38271,1001010101111111,1101111111000000,False,1.0
38272,1001010110000000,1101111101000000,False,1.0
38273,1001010110000001,1101111101000001,False,1.0
38274,1001010110000010,1101111101000011,False,1.0
38275,1001010110000011,1101111101000010,False,1.0
38276,1001010110000100,1101111101000110,False,1.0
38277,1001010110000101,1101111101000111,False,1.0
38278,1001010110000110,1101111101000101,False,1.0
38279,1001010110000111,1101111101000100,False,1.0
38280,1001010110001000,1101111101001100,False,1.0
38281,1001010110001001,1101111101001101,False,1.0
38282,1001010110001010,1101111101001111,False,1.0
38283,1001010110001011,1101111101001110,False,1.0
38284,1001010110001100,1101111101001010,False,1.0
38285,1001010110001101,1101111101001011,False,1.0
38286,1001010110001110,1101111101001001,False,1.0
38287,1001010110001111,1101111101001000,False,1.0
38288,1001010110010000,1101111101011000,False,1.0
38289,1001010110010001,1101111101011001,False,1.0
38290,1001010110010010,1101111101011011,False,1.0
38291,1001010110010011,1101111101011010,False,1.0
38292,1001010110010100,1101111101011110,False,1.0
38293,1001010110010101,1101111101011111,False,1.0
38294,1001010110010110,1101111101011101,False,1.0
38295,1001010110010111,1101111101011100,False,1.0
38296,1001010110011000,1101111101010100,False,1.0
38297,1001010110011001,1101111101010101,False,1.0
38298,1001010110011010,1101111101010111,False,1.0
38299,1001010110011011,1101111101010110,False,1.0
38300,1001010110011100,1101111101010010,False,1.0
38301,1001010110011101,1101111101010011,False,1.0
38302,1001010110011110,1101111101010001,False,1.0
38303,1001010110011111,1101111101010000,False,1.0
38304,1001010110100000,1101111101110000,False,1.0
38305,1001010110100001,1101111101110001,False,1.0
38306,1001010110100010,1101111101110011,False,1.0
38307,1001010110100011,1101111101110010,False,1.0
38308,1001010110100100,1101111101110110,False,1.0
38309,1001010110100101,1101111101110111,False,1.0
38310,1001010110100110,1101111101110101,False,1.0
38311,1001010110100111,1101111101110100,False,1.0
38312,1001010110101000,1101111101111100,False,1.0
38313,1001010110101001,1101111101111101,False,1.0
38314,1001010110101010,1101111101111111,False,1.0
38315,1001010110101011,1101111101111110,False,1.0
38316,1001010110101100,1101111101111010,False,1.0
38317,1001010110101101,1101111101111011,False,1.0
38318,1001010110101110,1101111101111001,False,1.0
38319,1001010110101111,1101111101111000,False,1.0
38320,1001010110110000,1101111101101000,False,1.0
38321,1001010110110001,1101111101101001,False,1.0
38322,1001010110110010,1101111101101011,False,1.0
38323,1001010110110011,1101111101101010,False,1.0
38324,1001010110110100,1101111101101110,False,1.0
38325,1001010110110101,1101111101101111,False,1.0
38326,1001010110110110,1101111101101101,False,1.0
38327,1001010110110111,1101111101101100,False,1.0
38328,1001010110111000,1101111101100100,False,1.0
38329,1001010110111001,1101111101100101,False,1.0
38330,1001010110111010,1101111101100111,False,1.0
38331,1001010110111011,1101111101100110,False,1.0
38332,1001010110111100,1101111101100010,False,1.0
