,dec,bin,gray,contiguity,score
1,1,1,1,True,0.7012721385753833
2,2,10,11,True,0.5030553241916493
3,3,11,10,True,0.7588899668028135
4,4,100,110,True,0.5633530514064018
5,5,101,111,True,0.3075184087952377
7,7,111,100,True,0.7615698657901359
8,8,1000,1100,True,0.6783972865050248
10,10,1010,1111,True,0.22434582951012674
11,11,1011,1110,True,0.4801804721212909
15,15,1111,1000,True,0.8739342019014366
16,16,10000,11000,True,0.798418476865818
20,20,10100,11110,True,0.4046647470856723
21,21,10101,11111,True,0.14883010447450812
23,23,10111,11100,True,0.6028815614694063
31,31,11111,10000,True,0.8815910561509289
32,32,100000,110000,True,0.8092337834932259
36,36,100100,110110,True,0.4154800537130803
37,37,100101,110111,True,0.15964541110191613
39,39,100111,110100,True,0.6136968680968142
40,40,101000,111100,True,0.5305242888117033
42,42,101010,111111,True,0.07647283181680514
43,43,101011,111110,True,0.33230747442796926
47,47,101111,111000,True,0.7260612042081149
52,52,110100,101110,True,0.40782319946358786
53,53,110101,101111,True,0.15198855685242374
55,55,110111,101100,True,0.6060400138473219
56,56,111000,100100,True,0.6892125931324329
58,58,111010,100111,True,0.23516113613753473
59,59,111011,100110,True,0.49099577874869893
63,63,111111,100000,True,0.8847495085288445
64,64,1000000,1100000,True,0.8331614530228897
66,66,1000010,1100011,True,0.37910999602799145
67,67,1000011,1100010,True,0.6349446386391556
68,68,1000100,1100110,True,0.439407723242744
69,69,1000101,1100111,True,0.18357308063157982
71,71,1000111,1100100,True,0.637624537626478
72,72,1001000,1101100,True,0.5544519583413671
74,74,1001010,1101111,True,0.10040050134646883
75,75,1001011,1101110,True,0.356235143957633
80,80,1010000,1111000,True,0.67447314870216
82,82,1010010,1111011,True,0.2204216917072619
83,83,1010011,1111010,True,0.47625633431842607
84,84,1010100,1111110,True,0.2807194189220144
85,85,1010101,1111111,True,0.02488477631085024
87,87,1010111,1111100,True,0.47893623330574836
88,88,1011000,1110100,True,0.5621088125908593
90,90,1011010,1110111,True,0.10805735559596122
91,91,1011011,1110110,True,0.36389199820712537
92,92,1011100,1110010,True,0.5594289136035371
93,93,1011101,1110011,True,0.30359427099237285
95,95,1011111,1110000,True,0.757645727987271
106,106,1101010,1011111,True,0.09724204896855324
107,107,1101011,1011110,True,0.3530766915797174
116,116,1110100,1001110,True,0.428592416615336
117,117,1110101,1001111,True,0.17275777400417183
122,122,1111010,1000111,True,0.2559303532892828
123,123,1111011,1000110,True,0.5117649959004469
124,124,1111100,1000010,True,0.7073019112968586
125,125,1111101,1000011,True,0.4514672686856945
127,127,1111111,1000000,True,0.9055187256805926
128,128,10000000,11000000,True,0.8806339493697424
129,129,10000001,11000001,True,0.6247993067585782
