,score
0,0.004306980515339464
1,0.0
2,0.0001914213562373095
3,0.0022013455967290593
4,0.0
5,0.00028713203435596426
6,9.571067811865475e-05
7,9.571067811865475e-05
8,0.0013399494936611666
9,0.0
10,0.0
11,0.0012442388155425117
12,0.0013399494936611666
13,0.0013399494936611666
14,0.0
15,0.0027756096654409875
16,0.00382842712474619
17,9.571067811865475e-05
18,0.0027756096654409875
19,9.571067811865475e-05
20,0.0013399494936611666
21,0.0
22,0.0001914213562373095
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,9.571067811865475e-05
29,0.0005742640687119285
30,9.571067811865475e-05
31,0.0
32,0.0
33,0.0013399494936611666
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0022013455967290593
40,0.0
41,0.0013399494936611666
42,0.0
43,9.571067811865475e-05
44,0.0
45,0.0
46,0.0
47,9.571067811865475e-05
48,0.0
49,0.0
50,0.0032541630560342615
51,0.0012442388155425117
52,0.0
53,0.0013399494936611666
54,0.0001914213562373095
55,0.0
56,0.0006699747468305833
57,0.0013399494936611666
58,9.571067811865475e-05
59,0.0
60,9.571067811865475e-05
61,0.0
62,0.0
63,0.0027756096654409875
64,0.0013399494936611666
65,0.0001914213562373095
66,0.0
67,0.0
68,0.0
69,0.0027756096654409875
70,0.0
71,9.571067811865475e-05
72,0.0
73,0.0
74,0.00028713203435596426
75,0.006125483399593904
76,0.0024884776310850234
77,0.0
78,9.571067811865475e-05
79,0.0
80,0.0013399494936611666
81,0.0022013455967290593
82,0.0
83,0.0013399494936611666
84,0.0013399494936611666
85,0.0027756096654409875
86,0.0013399494936611666
87,0.004306980515339464
88,0.0022013455967290593
89,9.571067811865475e-05
90,0.0
91,0.0022013455967290593
92,0.0
93,0.0013399494936611666
94,0.0
95,0.0013399494936611666
96,0.0001914213562373095
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0022013455967290593
104,0.0022013455967290593
105,0.0012442388155425117
106,0.0026798989873223333
107,0.0013399494936611666
108,0.0013399494936611666
109,0.0013399494936611666
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0024884776310850234
115,0.0013399494936611666
116,0.0
117,0.0006699747468305833
118,0.00382842712474619
119,0.0013399494936611666
120,0.0
121,0.0
122,9.571067811865475e-05
123,0.004306980515339464
124,0.0
125,0.0
126,0.0013399494936611666
127,0.0
128,0.0001914213562373095
129,0.0013399494936611666
130,9.571067811865475e-05
131,9.571067811865475e-05
132,0.0001914213562373095
133,0.0
134,0.0
135,0.0
136,0.0013399494936611666
137,0.0
138,0.0022013455967290593
139,0.006125483399593904
140,0.004689823227814083
141,0.0
142,0.0013399494936611666
143,0.0013399494936611666
144,0.004306980515339464
145,0.0006699747468305833
146,9.571067811865475e-05
147,0.0001914213562373095
148,0.0013399494936611666
149,0.0001914213562373095
150,9.571067811865475e-05
151,0.0
152,0.00028713203435596426
153,0.0
154,0.0
155,0.0
156,0.0012442388155425117
157,0.0013399494936611666
158,0.0012442388155425117
159,0.0005742640687119285
160,0.0
161,0.0
162,0.0001914213562373095
163,0.01110243866176395
164,0.0
165,0.0
166,0.0
167,9.571067811865475e-05
168,0.0
169,0.0012442388155425117
170,0.0
171,0.004019848480983499
172,0.0
173,0.0
174,0.0
175,0.010528174593052022
176,0.0
177,0.0001914213562373095
178,0.0
179,0.0
180,9.571067811865475e-05
181,0.0024884776310850234
182,0.0013399494936611666
183,0.0006699747468305833
184,0.0013399494936611666
185,0.0013399494936611666
186,0.0
187,0.0012442388155425117
188,0.0027756096654409875
189,0.0027756096654409875
190,0.0
191,0.0
192,0.0013399494936611666
193,0.0
194,0.0
195,0.006125483399593904
196,9.571067811865475e-05
197,0.0022013455967290593
198,0.0
199,0.0006699747468305833
200,0.0
201,9.571067811865475e-05
202,0.0
203,0.0013399494936611666
204,0.0
205,0.0
206,9.571067811865475e-05
207,0.0001914213562373095
208,0.0
209,9.571067811865475e-05
210,0.0013399494936611666
211,0.0022013455967290593
212,0.0012442388155425117
213,0.0
214,9.571067811865475e-05
215,0.0
216,0.0
217,9.571067811865475e-05
218,0.0013399494936611666
219,9.571067811865475e-05
220,0.0
221,0.0013399494936611666
222,0.0
223,0.0
224,0.004019848480983499
225,0.0012442388155425117
226,0.0028713203435596427
227,0.0032541630560342615
228,0.0
229,0.0
230,0.0022013455967290593
231,0.0
232,0.0022013455967290593
233,0.0027756096654409875
234,0.0012442388155425117
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0013399494936611666
240,0.0
241,0.0
242,0.0022013455967290593
243,0.0013399494936611666
244,0.0
245,0.0022013455967290593
246,0.0
247,0.00382842712474619
248,0.0
249,0.0013399494936611666
250,0.0
251,0.0
252,0.0012442388155425117
253,0.00028713203435596426
254,0.0022013455967290593
255,9.571067811865475e-05
256,0.0013399494936611666
257,0.0
258,0.0032541630560342615
259,0.0
260,0.0013399494936611666
261,0.0013399494936611666
262,9.571067811865475e-05
263,0.0012442388155425117
264,0.006125483399593904
265,0.0
266,0.0
267,0.0013399494936611666
268,0.0
269,0.0013399494936611666
270,9.571067811865475e-05
271,0.0
272,0.0022013455967290593
273,0.0
274,9.571067811865475e-05
275,0.0013399494936611666
276,0.0
277,0.00028713203435596426
278,0.0
