dec,bin,gray
0,0000000000000000,0000000000000000
1,0000000000000001,0000000000000001
2,0000000000000010,0000000000000011
3,0000000000000011,0000000000000010
4,0000000000000100,0000000000000110
5,0000000000000101,0000000000000111
6,0000000000000110,0000000000000101
7,0000000000000111,0000000000000100
8,0000000000001000,0000000000001100
9,0000000000001001,0000000000001101
10,0000000000001010,0000000000001111
11,0000000000001011,0000000000001110
12,0000000000001100,0000000000001010
13,0000000000001101,0000000000001011
14,0000000000001110,0000000000001001
15,0000000000001111,0000000000001000
16,0000000000010000,0000000000011000
17,0000000000010001,0000000000011001
18,0000000000010010,0000000000011011
19,0000000000010011,0000000000011010
20,0000000000010100,0000000000011110
21,0000000000010101,0000000000011111
22,0000000000010110,0000000000011101
23,0000000000010111,0000000000011100
24,0000000000011000,0000000000010100
25,0000000000011001,0000000000010101
26,0000000000011010,0000000000010111
27,0000000000011011,0000000000010110
28,0000000000011100,0000000000010010
29,0000000000011101,0000000000010011
30,0000000000011110,0000000000010001
31,0000000000011111,0000000000010000
32,0000000000100000,0000000000110000
33,0000000000100001,0000000000110001
34,0000000000100010,0000000000110011
35,0000000000100011,0000000000110010
36,0000000000100100,0000000000110110
37,0000000000100101,0000000000110111
38,0000000000100110,0000000000110101
39,0000000000100111,0000000000110100
40,0000000000101000,0000000000111100
41,0000000000101001,0000000000111101
42,0000000000101010,0000000000111111
43,0000000000101011,0000000000111110
44,0000000000101100,0000000000111010
45,0000000000101101,0000000000111011
46,0000000000101110,0000000000111001
47,0000000000101111,0000000000111000
48,0000000000110000,0000000000101000
49,0000000000110001,0000000000101001
50,0000000000110010,0000000000101011
51,0000000000110011,0000000000101010
52,0000000000110100,0000000000101110
53,0000000000110101,0000000000101111
54,0000000000110110,0000000000101101
55,0000000000110111,0000000000101100
56,0000000000111000,0000000000100100
57,0000000000111001,0000000000100101
58,0000000000111010,0000000000100111
59,0000000000111011,0000000000100110
60,0000000000111100,0000000000100010
61,0000000000111101,0000000000100011
62,0000000000111110,0000000000100001
63,0000000000111111,0000000000100000
64,0000000001000000,0000000001100000
65,0000000001000001,0000000001100001
66,0000000001000010,0000000001100011
67,0000000001000011,0000000001100010
68,0000000001000100,0000000001100110
69,0000000001000101,0000000001100111
70,0000000001000110,0000000001100101
71,0000000001000111,0000000001100100
72,0000000001001000,0000000001101100
73,0000000001001001,0000000001101101
74,0000000001001010,0000000001101111
75,0000000001001011,0000000001101110
76,0000000001001100,0000000001101010
77,0000000001001101,0000000001101011
78,0000000001001110,0000000001101001
79,0000000001001111,0000000001101000
80,0000000001010000,0000000001111000
81,0000000001010001,0000000001111001
82,0000000001010010,0000000001111011
83,0000000001010011,0000000001111010
84,0000000001010100,0000000001111110
85,0000000001010101,0000000001111111
86,0000000001010110,0000000001111101
87,0000000001010111,0000000001111100
88,0000000001011000,0000000001110100
89,0000000001011001,0000000001110101
90,0000000001011010,0000000001110111
91,0000000001011011,0000000001110110
92,0000000001011100,0000000001110010
93,0000000001011101,0000000001110011
94,0000000001011110,0000000001110001
95,0000000001011111,0000000001110000
96,0000000001100000,0000000001010000
97,0000000001100001,0000000001010001
98,0000000001100010,0000000001010011
99,0000000001100011,0000000001010010
100,0000000001100100,0000000001010110
101,0000000001100101,0000000001010111
102,0000000001100110,0000000001010101
103,0000000001100111,0000000001010100
104,0000000001101000,0000000001011100
105,0000000001101001,0000000001011101
106,0000000001101010,0000000001011111
107,0000000001101011,0000000001011110
108,0000000001101100,0000000001011010
109,0000000001101101,0000000001011011
110,0000000001101110,0000000001011001
111,0000000001101111,0000000001011000
112,0000000001110000,0000000001001000
113,0000000001110001,0000000001001001
114,0000000001110010,0000000001001011
115,0000000001110011,0000000001001010
116,0000000001110100,0000000001001110
117,0000000001110101,0000000001001111
118,0000000001110110,0000000001001101
119,0000000001110111,0000000001001100
120,0000000001111000,0000000001000100
121,0000000001111001,0000000001000101
122,0000000001111010,0000000001000111
123,0000000001111011,0000000001000110
124,0000000001111100,0000000001000010
125,0000000001111101,0000000001000011
126,0000000001111110,0000000001000001
127,0000000001111111,0000000001000000
128,0000000010000000,0000000011000000
129,0000000010000001,0000000011000001
130,0000000010000010,0000000011000011
131,0000000010000011,0000000011000010
132,0000000010000100,0000000011000110
133,0000000010000101,0000000011000111
134,0000000010000110,0000000011000101
135,0000000010000111,0000000011000100
136,0000000010001000,0000000011001100
137,0000000010001001,0000000011001101
138,0000000010001010,0000000011001111
139,0000000010001011,0000000011001110
140,0000000010001100,0000000011001010
141,0000000010001101,0000000011001011
142,0000000010001110,0000000011001001
143,0000000010001111,0000000011001000
144,0000000010010000,0000000011011000
145,0000000010010001,0000000011011001
146,0000000010010010,0000000011011011
147,0000000010010011,0000000011011010
148,0000000010010100,0000000011011110
149,0000000010010101,0000000011011111
150,0000000010010110,0000000011011101
151,0000000010010111,0000000011011100
152,0000000010011000,0000000011010100
153,0000000010011001,0000000011010101
154,0000000010011010,0000000011010111
155,0000000010011011,0000000011010110
156,0000000010011100,0000000011010010
157,0000000010011101,0000000011010011
158,0000000010011110,0000000011010001
159,0000000010011111,0000000011010000
160,0000000010100000,0000000011110000
161,0000000010100001,0000000011110001
162,0000000010100010,0000000011110011
163,0000000010100011,0000000011110010
164,0000000010100100,0000000011110110
165,0000000010100101,0000000011110111
166,0000000010100110,0000000011110101
167,0000000010100111,0000000011110100
168,0000000010101000,0000000011111100
169,0000000010101001,0000000011111101
170,0000000010101010,0000000011111111
171,0000000010101011,0000000011111110
172,0000000010101100,0000000011111010
173,0000000010101101,0000000011111011
174,0000000010101110,0000000011111001
175,0000000010101111,0000000011111000
176,0000000010110000,0000000011101000
177,0000000010110001,0000000011101001
178,0000000010110010,0000000011101011
179,0000000010110011,0000000011101010
180,0000000010110100,0000000011101110
181,0000000010110101,0000000011101111
182,0000000010110110,0000000011101101
183,0000000010110111,0000000011101100
184,0000000010111000,0000000011100100
185,0000000010111001,0000000011100101
186,0000000010111010,0000000011100111
187,0000000010111011,0000000011100110
188,0000000010111100,0000000011100010
189,0000000010111101,0000000011100011
190,0000000010111110,0000000011100001
191,0000000010111111,0000000011100000
192,0000000011000000,0000000010100000
193,0000000011000001,0000000010100001
194,0000000011000010,0000000010100011
195,0000000011000011,0000000010100010
196,0000000011000100,0000000010100110
197,0000000011000101,0000000010100111
198,0000000011000110,0000000010100101
199,0000000011000111,0000000010100100
200,0000000011001000,0000000010101100
201,0000000011001001,0000000010101101
202,0000000011001010,0000000010101111
203,0000000011001011,0000000010101110
204,0000000011001100,0000000010101010
205,0000000011001101,0000000010101011
206,0000000011001110,0000000010101001
207,0000000011001111,0000000010101000
208,0000000011010000,0000000010111000
209,0000000011010001,0000000010111001
210,0000000011010010,0000000010111011
211,0000000011010011,0000000010111010
212,0000000011010100,0000000010111110
213,0000000011010101,0000000010111111
214,0000000011010110,0000000010111101
215,0000000011010111,0000000010111100
216,0000000011011000,0000000010110100
217,0000000011011001,0000000010110101
218,0000000011011010,0000000010110111
219,0000000011011011,0000000010110110
220,0000000011011100,0000000010110010
221,0000000011011101,0000000010110011
222,0000000011011110,0000000010110001
223,0000000011011111,0000000010110000
224,0000000011100000,0000000010010000
225,0000000011100001,0000000010010001
226,0000000011100010,0000000010010011
227,0000000011100011,0000000010010010
228,0000000011100100,0000000010010110
229,0000000011100101,0000000010010111
230,0000000011100110,0000000010010101
231,0000000011100111,0000000010010100
232,0000000011101000,0000000010011100
233,0000000011101001,0000000010011101
234,0000000011101010,0000000010011111
235,0000000011101011,0000000010011110
236,0000000011101100,0000000010011010
237,0000000011101101,0000000010011011
238,0000000011101110,0000000010011001
239,0000000011101111,0000000010011000
240,0000000011110000,0000000010001000
241,0000000011110001,0000000010001001
242,0000000011110010,0000000010001011
243,0000000011110011,0000000010001010
244,0000000011110100,0000000010001110
245,0000000011110101,0000000010001111
246,0000000011110110,0000000010001101
247,0000000011110111,0000000010001100
248,0000000011111000,0000000010000100
249,0000000011111001,0000000010000101
250,0000000011111010,0000000010000111
251,0000000011111011,0000000010000110
252,0000000011111100,0000000010000010
253,0000000011111101,0000000010000011
254,0000000011111110,0000000010000001
255,0000000011111111,0000000010000000
256,0000000100000000,0000000110000000
257,0000000100000001,0000000110000001
258,0000000100000010,0000000110000011
259,0000000100000011,0000000110000010
260,0000000100000100,0000000110000110
261,0000000100000101,0000000110000111
262,0000000100000110,0000000110000101
263,0000000100000111,0000000110000100
264,0000000100001000,0000000110001100
265,0000000100001001,0000000110001101
266,0000000100001010,0000000110001111
267,0000000100001011,0000000110001110
268,0000000100001100,0000000110001010
269,0000000100001101,0000000110001011
270,0000000100001110,0000000110001001
271,0000000100001111,0000000110001000
272,0000000100010000,0000000110011000
273,0000000100010001,0000000110011001
274,0000000100010010,0000000110011011
275,0000000100010011,0000000110011010
276,0000000100010100,0000000110011110
277,0000000100010101,0000000110011111
278,0000000100010110,0000000110011101
279,0000000100010111,0000000110011100
280,0000000100011000,0000000110010100
281,0000000100011001,0000000110010101
282,0000000100011010,0000000110010111
283,0000000100011011,0000000110010110
284,0000000100011100,0000000110010010
285,0000000100011101,0000000110010011
286,0000000100011110,0000000110010001
287,0000000100011111,0000000110010000
288,0000000100100000,0000000110110000
289,0000000100100001,0000000110110001
290,0000000100100010,0000000110110011
291,0000000100100011,0000000110110010
292,0000000100100100,0000000110110110
293,0000000100100101,0000000110110111
294,0000000100100110,0000000110110101
295,0000000100100111,0000000110110100
296,0000000100101000,0000000110111100
297,0000000100101001,0000000110111101
298,0000000100101010,0000000110111111
299,0000000100101011,0000000110111110
300,0000000100101100,0000000110111010
301,0000000100101101,0000000110111011
302,0000000100101110,0000000110111001
303,0000000100101111,0000000110111000
304,0000000100110000,0000000110101000
305,0000000100110001,0000000110101001
306,0000000100110010,0000000110101011
307,0000000100110011,0000000110101010
308,0000000100110100,0000000110101110
309,0000000100110101,0000000110101111
310,0000000100110110,0000000110101101
311,0000000100110111,0000000110101100
312,0000000100111000,0000000110100100
313,0000000100111001,0000000110100101
314,0000000100111010,0000000110100111
315,0000000100111011,0000000110100110
316,0000000100111100,0000000110100010
317,0000000100111101,0000000110100011
318,0000000100111110,0000000110100001
319,0000000100111111,0000000110100000
320,0000000101000000,0000000111100000
321,0000000101000001,0000000111100001
322,0000000101000010,0000000111100011
323,0000000101000011,0000000111100010
324,0000000101000100,0000000111100110
325,0000000101000101,0000000111100111
326,0000000101000110,0000000111100101
327,0000000101000111,0000000111100100
328,0000000101001000,0000000111101100
329,0000000101001001,0000000111101101
330,0000000101001010,0000000111101111
331,0000000101001011,0000000111101110
332,0000000101001100,0000000111101010
333,0000000101001101,0000000111101011
